iu_ac,libelle,t_1h,q,k,etat_trafic,iu_nd_amont,libelle_nd_amont,iu_nd_aval,libelle_nd_aval,etat_barre,date_debut,date_fin,geo_point_2d.lon,geo_point_2d.lat,geo_shape.type,geo_shape.geometry.coordinates,geo_shape.geometry.type
555,Reaumur,2023-02-01T17:00:00+00:00,772.0,40.51,Saturé,309,Reaumur-Bd_Sebastopol,318,Reaumur-St_Martin,Invalide,2005-01-01,2019-06-01,2.35314646887363,48.866084139094994,Feature,"[[2.3525203699543034, 48.866218970837814], [2.3537725677929564, 48.86594930735217]]",LineString
556,Reaumur,2023-02-01T19:00:00+00:00,1020.0,26.32556,Pré-saturé,318,Reaumur-St_Martin,322,Pl_Arts_et_Metiers,Invalide,2005-01-01,2019-06-01,2.354908885509687,48.86571260931233,Feature,"[[2.3537725677929564, 48.86594930735217], [2.356045203226418, 48.8654759112725]]",LineString
556,Reaumur,2023-02-01T18:00:00+00:00,773.0,45.08222,Saturé,318,Reaumur-St_Martin,322,Pl_Arts_et_Metiers,Invalide,2005-01-01,2019-06-01,2.354908885509687,48.86571260931233,Feature,"[[2.3537725677929564, 48.86594930735217], [2.356045203226418, 48.8654759112725]]",LineString
559,Turbigo,2023-02-01T23:00:00+00:00,312.0,6.11333,Fluide,340,Turbigo-Temple-N-D_Nazareth,341,Turbigo-Borda,Invalide,2005-01-01,2019-06-01,2.3599372636616733,48.866357000283514,Feature,"[[2.3618135679642847, 48.86678285004819], [2.358060959359062, 48.86593115051885]]",LineString
559,Turbigo,2023-02-01T21:00:00+00:00,363.0,7.08167,Fluide,340,Turbigo-Temple-N-D_Nazareth,341,Turbigo-Borda,Invalide,2005-01-01,2019-06-01,2.3599372636616733,48.866357000283514,Feature,"[[2.3618135679642847, 48.86678285004819], [2.358060959359062, 48.86593115051885]]",LineString
559,Turbigo,2023-02-01T20:00:00+00:00,342.0,9.83167,Fluide,340,Turbigo-Temple-N-D_Nazareth,341,Turbigo-Borda,Invalide,2005-01-01,2019-06-01,2.3599372636616733,48.866357000283514,Feature,"[[2.3618135679642847, 48.86678285004819], [2.358060959359062, 48.86593115051885]]",LineString
559,Turbigo,2023-02-01T18:00:00+00:00,441.0,9.71222,Fluide,340,Turbigo-Temple-N-D_Nazareth,341,Turbigo-Borda,Invalide,2005-01-01,2019-06-01,2.3599372636616733,48.866357000283514,Feature,"[[2.3618135679642847, 48.86678285004819], [2.358060959359062, 48.86593115051885]]",LineString
560,Turbigo,2023-02-01T23:00:00+00:00,,21.78,Pré-saturé,322,Pl_Arts_et_Metiers,319,Turbigo-St_Martin,Invalide,2005-01-01,2019-06-01,2.3546792635114513,48.86514893750274,Feature,"[[2.356045203226418, 48.8654759112725], [2.3553983870667485, 48.86531028665116], [2.3533100892860817, 48.86483534614436]]",LineString
560,Turbigo,2023-02-01T22:00:00+00:00,,18.59056,Pré-saturé,322,Pl_Arts_et_Metiers,319,Turbigo-St_Martin,Invalide,2005-01-01,2019-06-01,2.3546792635114513,48.86514893750274,Feature,"[[2.356045203226418, 48.8654759112725], [2.3553983870667485, 48.86531028665116], [2.3533100892860817, 48.86483534614436]]",LineString
560,Turbigo,2023-02-01T19:00:00+00:00,,0.785,Fluide,322,Pl_Arts_et_Metiers,319,Turbigo-St_Martin,Invalide,2005-01-01,2019-06-01,2.3546792635114513,48.86514893750274,Feature,"[[2.356045203226418, 48.8654759112725], [2.3553983870667485, 48.86531028665116], [2.3533100892860817, 48.86483534614436]]",LineString
560,Turbigo,2023-02-01T17:00:00+00:00,,1.59389,Fluide,322,Pl_Arts_et_Metiers,319,Turbigo-St_Martin,Invalide,2005-01-01,2019-06-01,2.3546792635114513,48.86514893750274,Feature,"[[2.356045203226418, 48.8654759112725], [2.3553983870667485, 48.86531028665116], [2.3533100892860817, 48.86483534614436]]",LineString
561,Turbigo,2023-02-01T23:00:00+00:00,,8.11945,Fluide,319,Turbigo-St_Martin,308,Bd_Sebastopol-Turbigo,Invalide,2005-01-01,2019-06-01,2.352464039211492,48.864656781376645,Feature,"[[2.3533100892860817, 48.86483534614436], [2.3516179891369036, 48.86447821660893]]",LineString
561,Turbigo,2023-02-01T22:00:00+00:00,,8.29111,Fluide,319,Turbigo-St_Martin,308,Bd_Sebastopol-Turbigo,Invalide,2005-01-01,2019-06-01,2.352464039211492,48.864656781376645,Feature,"[[2.3533100892860817, 48.86483534614436], [2.3516179891369036, 48.86447821660893]]",LineString
561,Turbigo,2023-02-01T21:00:00+00:00,,11.22834,Fluide,319,Turbigo-St_Martin,308,Bd_Sebastopol-Turbigo,Invalide,2005-01-01,2019-06-01,2.352464039211492,48.864656781376645,Feature,"[[2.3533100892860817, 48.86483534614436], [2.3516179891369036, 48.86447821660893]]",LineString
561,Turbigo,2023-02-01T19:00:00+00:00,,5.35834,Fluide,319,Turbigo-St_Martin,308,Bd_Sebastopol-Turbigo,Invalide,2005-01-01,2019-06-01,2.352464039211492,48.864656781376645,Feature,"[[2.3533100892860817, 48.86483534614436], [2.3516179891369036, 48.86447821660893]]",LineString
579,Bd_St_Michel,2023-02-01T23:00:00+00:00,,,Inconnu,345,Bd_St_Michel-Sorbonne,36,Bd_St_Michel-Ecoles,Invalide,2005-01-01,2019-06-01,2.3426122432633556,48.85035066347571,Feature,"[[2.3425962910970073, 48.85032535335741], [2.342628195429704, 48.850375973594005]]",LineString
579,Bd_St_Michel,2023-02-01T21:00:00+00:00,580.0,4.66,Fluide,345,Bd_St_Michel-Sorbonne,36,Bd_St_Michel-Ecoles,Invalide,2005-01-01,2019-06-01,2.3426122432633556,48.85035066347571,Feature,"[[2.3425962910970073, 48.85032535335741], [2.342628195429704, 48.850375973594005]]",LineString
