Identifiant arc,Libelle,Date et heure de comptage,Debit horaire,Taux d'occupation,Etat trafic,Identifiant noeud amont,Libelle noeud amont,Identifiant noeud aval,Libelle noeud aval,Etat arc,Date debut dispo data,Date fin dispo data,geo_point_2d,Unnamed: 14
6793,Quai_d'Orsay,2023-09-07T23:00:00+02:00,569.0,3.42056,Fluide,3522,Quai_d'Orsay-face_57-59,2349,Pl_de_Finlande,Invalide,41472.0,44927.0,48.862523438603,2.30899274499105
6793,Quai_d'Orsay,2023-09-07T20:00:00+02:00,585.0,1.96945,Fluide,3522,Quai_d'Orsay-face_57-59,2349,Pl_de_Finlande,Invalide,41472.0,44927.0,48.862523438603,2.30899274499105
6793,Quai_d'Orsay,2023-09-07T19:00:00+02:00,869.0,1.96944,Fluide,3522,Quai_d'Orsay-face_57-59,2349,Pl_de_Finlande,Invalide,41472.0,44927.0,48.862523438603,2.30899274499105
6793,Quai_d'Orsay,2023-09-07T17:00:00+02:00,860.0,2.65667,Fluide,3522,Quai_d'Orsay-face_57-59,2349,Pl_de_Finlande,Invalide,41472.0,44927.0,48.862523438603,2.30899274499105
6793,Quai_d'Orsay,2023-09-07T16:00:00+02:00,854.0,2.37556,Fluide,3522,Quai_d'Orsay-face_57-59,2349,Pl_de_Finlande,Invalide,41472.0,44927.0,48.862523438603,2.30899274499105
6624,Av_Simon_Bolivar,2023-06-16T15:00:00+02:00,295.0,3.63,Fluide,3432,Atlas-Simon_Bolivar,3433,Lauzin-Simon_Bolivar,Invalide,39279.0,44927.0,48.8763992558006,2.37749683959955
6624,Av_Simon_Bolivar,2023-06-16T14:00:00+02:00,321.0,6.11,Fluide,3432,Atlas-Simon_Bolivar,3433,Lauzin-Simon_Bolivar,Invalide,39279.0,44927.0,48.8763992558006,2.37749683959955
6625,Av_Simon_Bolivar,2023-06-16T14:00:00+02:00,128.0,6.09778,Fluide,3433,Lauzin-Simon_Bolivar,3432,Atlas-Simon_Bolivar,Invalide,39279.0,44927.0,48.8764844953133,2.3774892204367
6811,Alain,2023-10-04T00:00:00+02:00,448.0,13.00889,Fluide,3017,Bd_Pasteur-Catalogne,3149,Vercingetorix-Pernety,Invalide,41645.0,44927.0,48.8367354294429,2.3165327541667
6811,Alain,2023-10-03T22:00:00+02:00,681.0,15.87611,Pr�-satur�,3017,Bd_Pasteur-Catalogne,3149,Vercingetorix-Pernety,Invalide,41645.0,44927.0,48.8367354294429,2.3165327541667
