Identifiant arc,Libelle,Date et heure de comptage,Debit horaire,Taux d'occupation,Etat trafic,Identifiant noeud amont,Libelle noeud amont,Identifiant noeud aval,Libelle noeud aval,Etat arc,Date debut dispo data,Date fin dispo data,geo_point_2d,Unnamed: 14
6674,Crimee,2024-02-09T13:00:00+01:00,405.0,3.82667,Fluide,3458,Crimee-Curial,3336,Crimee-Archereau,Invalide,39883.0,44927.0,48.8929392097196,2.3741800977092
6756,Quai_Tuileries,2023-04-07T23:00:00+02:00,1439.0,12.87667,Fluide,133,Tuileries-Orangerie,132,Tuileries-Sedar_Senghor,Invalide,41156.0,44927.0,48.8629503303371,2.3234559235667
6756,Quai_Tuileries,2023-04-07T22:00:00+02:00,1500.0,21.20445,Pr�-satur�,133,Tuileries-Orangerie,132,Tuileries-Sedar_Senghor,Invalide,41156.0,44927.0,48.8629503303371,2.3234559235667
6756,Quai_Tuileries,2023-04-07T21:00:00+02:00,1705.0,27.12722,Pr�-satur�,133,Tuileries-Orangerie,132,Tuileries-Sedar_Senghor,Invalide,41156.0,44927.0,48.8629503303371,2.3234559235667
6756,Quai_Tuileries,2023-04-07T18:00:00+02:00,1803.0,36.60389,Satur�,133,Tuileries-Orangerie,132,Tuileries-Sedar_Senghor,Invalide,41156.0,44927.0,48.8629503303371,2.3234559235667
6756,Quai_Tuileries,2023-04-07T17:00:00+02:00,1791.0,36.80111,Satur�,133,Tuileries-Orangerie,132,Tuileries-Sedar_Senghor,Invalide,41156.0,44927.0,48.8629503303371,2.3234559235667
6756,Quai_Tuileries,2023-04-07T14:00:00+02:00,1674.0,42.57167,Satur�,133,Tuileries-Orangerie,132,Tuileries-Sedar_Senghor,Invalide,41156.0,44927.0,48.8629503303371,2.3234559235667
6756,Quai_Tuileries,2023-04-07T12:00:00+02:00,1659.0,41.00445,Satur�,133,Tuileries-Orangerie,132,Tuileries-Sedar_Senghor,Invalide,41156.0,44927.0,48.8629503303371,2.3234559235667
6757,Quai_Tuileries,2023-04-08T00:00:00+02:00,1412.0,7.60833,Fluide,132,Tuileries-Sedar_Senghor,3500,Quai_Tuileries-face_28,Invalide,41156.0,44927.0,48.8621065457127,2.32609027210752
6757,Quai_Tuileries,2023-04-07T23:00:00+02:00,1375.0,7.70944,Fluide,132,Tuileries-Sedar_Senghor,3500,Quai_Tuileries-face_28,Invalide,41156.0,44927.0,48.8621065457127,2.32609027210752
6757,Quai_Tuileries,2023-04-07T22:00:00+02:00,1497.0,8.59945,Fluide,132,Tuileries-Sedar_Senghor,3500,Quai_Tuileries-face_28,Invalide,41156.0,44927.0,48.8621065457127,2.32609027210752
6757,Quai_Tuileries,2023-04-07T21:00:00+02:00,1704.0,9.36611,Fluide,132,Tuileries-Sedar_Senghor,3500,Quai_Tuileries-face_28,Invalide,41156.0,44927.0,48.8621065457127,2.32609027210752
6757,Quai_Tuileries,2023-04-07T20:00:00+02:00,1816.0,10.35944,Fluide,132,Tuileries-Sedar_Senghor,3500,Quai_Tuileries-face_28,Invalide,41156.0,44927.0,48.8621065457127,2.32609027210752
6757,Quai_Tuileries,2023-04-07T19:00:00+02:00,1832.0,9.01778,Fluide,132,Tuileries-Sedar_Senghor,3500,Quai_Tuileries-face_28,Invalide,41156.0,44927.0,48.8621065457127,2.32609027210752
6757,Quai_Tuileries,2023-04-07T15:00:00+02:00,1551.0,17.99222,Pr�-satur�,132,Tuileries-Sedar_Senghor,3500,Quai_Tuileries-face_28,Invalide,41156.0,44927.0,48.8621065457127,2.32609027210752
6757,Quai_Tuileries,2023-04-07T13:00:00+02:00,1514.0,26.11056,Pr�-satur�,132,Tuileries-Sedar_Senghor,3500,Quai_Tuileries-face_28,Invalide,41156.0,44927.0,48.8621065457127,2.32609027210752
